model,model_path,random_state,parent_run_id,n_features_in,feature_names_in,best_performance_tuning,concordance_index_censored,concordance_index_ipcw,integrated_brier_score,mean_cumulative_dynamic_auc
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_89.pkl,89,modest_door_nm9dxgckkq,16,,-0.9238393322900366,0.8131491097922848,0.8235502220628012,0.034979291091402506,0.8009927600087041
ComponentwiseGradientBoostingSurvivalAnalysis_T1,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T1_95.pkl,95,quirky_double_b1fxktnczj,4,,-0.96,0.8594161958568738,0.8347670410396376,0.031000176121614445,0.9066770756833304
SurvivalTree_T0,raw_SurvivalTree_T0_62.pkl,62,magenta_brush_709fhdv81h,7,,-0.8507462686567164,0.8257777777777778,0.8146789514512754,0.03782798426769647,0.8507710344236629
GradientBoostingSurvivalAnalysis_T0,raw_GradientBoostingSurvivalAnalysis_T0_90.pkl,90,red_shoe_sw899k9594,4,,-0.9534739454094293,0.8650334075723831,0.8503582849893415,0.036607374647531395,0.8854982923977984
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_62.pkl,62,magenta_brush_709fhdv81h,10,,-0.9452054794520548,0.8425777777777778,0.8429396721143522,0.0410120241611098,0.8492523327843896
RandomSurvivalForest_T1,raw_RandomSurvivalForest_T1_91.pkl,91,dynamic_engine_b27tvvlg8k,13,,-0.9420289855072463,0.8733163451037496,0.8692783344620025,0.03212369296721327,0.8807306989494834
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_73.pkl,73,mighty_beet_0h7bfp7shz,16,,-0.9521665728756331,0.8448431301839163,0.8415810529522092,0.03490824869603752,0.8519304952449934
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_62.pkl,62,magenta_brush_709fhdv81h,10,,-0.9497716894977168,0.8430222222222222,0.843434492048172,0.04147358629563863,0.8516797772027553
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_62.pkl,62,magenta_brush_709fhdv81h,10,,-0.9563673262303399,0.8444444444444444,0.8419630913131784,0.038934042469934184,0.8588498552077277
GradientBoostingSurvivalAnalysis_T0,raw_GradientBoostingSurvivalAnalysis_T0_89.pkl,89,modest_door_nm9dxgckkq,13,,-0.9112090680100756,0.794371290801187,0.802859175026709,0.040089808684929056,0.7887477769595354
